# This file lists the parameter names that are generated by BAGIS-P
# If the parameter is not listed here, it is manually selected
# Format: parameter name,parameter dimension
# At this time only nhru and hradpl are acceptable dimensions
ERAMS_ID,nhru
cov_type,nhru
covden_sum,nhru
covden_win,nhru
hru_area,nhru
hru_aspect,nhru
hru_deplcrv,nhru
hru_elev,nhru
hru_lat,nhru
hru_percent_imperv,nhru
hru_radpl,nhru
hru_slope,nhru
hru_x,nhru
hru_y,nhru
jh_coef_hru,nhru
rad_trncf,nhru
snow_intcp,nhru
srain_intcp,nhru
tmax_adj,nhru
tmin_adj,nhru
wrain_intcp,nhru
radpl_slope,nradpl
radpl_aspect,nradpl
radpl_lat,nradpl
